Breed,Trait,Trait_Score
Lagotti Romagnoli,Openness To Strangers,4
Lagotti Romagnoli,Playfulness Level,4
Lagotti Romagnoli,Watchdog/Protective Nature,3
Lagotti Romagnoli,Adaptability Level,4
Lagotti Romagnoli,Trainability Level,4
Lagotti Romagnoli,Energy Level,4
Lagotti Romagnoli,Barking Level,2
Lagotti Romagnoli,Mental Stimulation Needs,4
Brussels Griffons,Affectionate With Family,4
Brussels Griffons,Good With Young Children,3
Brussels Griffons,Good With Other Dogs,3
Brussels Griffons,Shedding Level,3
Brussels Griffons,Coat Grooming Frequency,3
Brussels Griffons,Drooling Level,1
Brussels Griffons,Coat Type,Wiry
Brussels Griffons,Coat Length,Short
Brussels Griffons,Openness To Strangers,4
Brussels Griffons,Playfulness Level,4
Brussels Griffons,Watchdog/Protective Nature,3
Brussels Griffons,Adaptability Level,4
Brussels Griffons,Trainability Level,4
Brussels Griffons,Energy Level,3
Brussels Griffons,Barking Level,4
Brussels Griffons,Mental Stimulation Needs,3
Retrievers (Nova Scotia Duck Tolling),Affectionate With Family,5
Retrievers (Nova Scotia Duck Tolling),Good With Young Children,5
Retrievers (Nova Scotia Duck Tolling),Good With Other Dogs,4
Retrievers (Nova Scotia Duck Tolling),Shedding Level,3
Retrievers (Nova Scotia Duck Tolling),Coat Grooming Frequency,2
Retrievers (Nova Scotia Duck Tolling),Drooling Level,2
Retrievers (Nova Scotia Duck Tolling),Coat Type,Double
Retrievers (Nova Scotia Duck Tolling),Coat Length,Medium
Retrievers (Nova Scotia Duck Tolling),Openness To Strangers,3
Retrievers (Nova Scotia Duck Tolling),Playfulness Level,5
Retrievers (Nova Scotia Duck Tolling),Watchdog/Protective Nature,3
Retrievers (Nova Scotia Duck Tolling),Adaptability Level,4
Retrievers (Nova Scotia Duck Tolling),Trainability Level,5
Retrievers (Nova Scotia Duck Tolling),Energy Level,5
Retrievers (Nova Scotia Duck Tolling),Barking Level,2
Retrievers (Nova Scotia Duck Tolling),Mental Stimulation Needs,4
Norwegian Elkhounds,Affectionate With Family,5
Norwegian Elkhounds,Good With Young Children,3
Norwegian Elkhounds,Good With Other Dogs,3
Norwegian Elkhounds,Shedding Level,3
Norwegian Elkhounds,Coat Grooming Frequency,2
Norwegian Elkhounds,Drooling Level,2
Norwegian Elkhounds,Coat Type,Double
Norwegian Elkhounds,Coat Length,Medium
Norwegian Elkhounds,Openness To Strangers,4
Norwegian Elkhounds,Playfulness Level,4
Norwegian Elkhounds,Watchdog/Protective Nature,5
Norwegian Elkhounds,Adaptability Level,4
Norwegian Elkhounds,Trainability Level,4
Norwegian Elkhounds,Energy Level,4
Norwegian Elkhounds,Barking Level,4
Norwegian Elkhounds,Mental Stimulation Needs,4
Standard Schnauzers,Affectionate With Family,5
Standard Schnauzers,Good With Young Children,5
Standard Schnauzers,Good With Other Dogs,3
Standard Schnauzers,Shedding Level,1
Standard Schnauzers,Coat Grooming Frequency,3
Standard Schnauzers,Drooling Level,3
Standard Schnauzers,Coat Type,Wiry
Standard Schnauzers,Coat Length,Medium
Standard Schnauzers,Openness To Strangers,3
Standard Schnauzers,Playfulness Level,4
Standard Schnauzers,Watchdog/Protective Nature,5
Standard Schnauzers,Adaptability Level,4
Standard Schnauzers,Trainability Level,5
Standard Schnauzers,Energy Level,3
Standard Schnauzers,Barking Level,3
Standard Schnauzers,Mental Stimulation Needs,5
Dogo Argentinos,Affectionate With Family,5
Dogo Argentinos,Good With Young Children,3
Dogo Argentinos,Good With Other Dogs,3
Dogo Argentinos,Shedding Level,4
Dogo Argentinos,Coat Grooming Frequency,1
Dogo Argentinos,Drooling Level,3
Dogo Argentinos,Coat Type,Smooth
Dogo Argentinos,Coat Length,Short
Dogo Argentinos,Openness To Strangers,4
Dogo Argentinos,Playfulness Level,4
Dogo Argentinos,Watchdog/Protective Nature,5
Dogo Argentinos,Adaptability Level,4
Dogo Argentinos,Trainability Level,5
Dogo Argentinos,Energy Level,5
Dogo Argentinos,Barking Level,3
Dogo Argentinos,Mental Stimulation Needs,4
Bouviers des Flandres,Affectionate With Family,3
Bouviers des Flandres,Good With Young Children,3
Bouviers des Flandres,Good With Other Dogs,3
Bouviers des Flandres,Shedding Level,3
Bouviers des Flandres,Coat Grooming Frequency,4
Bouviers des Flandres,Drooling Level,2
Bouviers des Flandres,Coat Type,Rough
Bouviers des Flandres,Coat Length,Medium
Bouviers des Flandres,Openness To Strangers,3
Bouviers des Flandres,Playfulness Level,3
Bouviers des Flandres,Watchdog/Protective Nature,4
Bouviers des Flandres,Adaptability Level,3
Bouviers des Flandres,Trainability Level,4
Bouviers des Flandres,Energy Level,4
Bouviers des Flandres,Barking Level,3
Bouviers des Flandres,Mental Stimulation Needs,3
Pekingese,Affectionate With Family,5
Pekingese,Good With Young Children,3
Pekingese,Good With Other Dogs,3
Pekingese,Shedding Level,3
Pekingese,Coat Grooming Frequency,3
Pekingese,Drooling Level,1
Pekingese,Coat Type,Double
Pekingese,Coat Length,Long
Pekingese,Openness To Strangers,3
Pekingese,Playfulness Level,4
Pekingese,Watchdog/Protective Nature,4
Pekingese,Adaptability Level,4
Pekingese,Trainability Level,3
Pekingese,Energy Level,3
Pekingese,Barking Level,1
Pekingese,Mental Stimulation Needs,3
Keeshonden,Affectionate With Family,5
Keeshonden,Good With Young Children,5
Keeshonden,Good With Other Dogs,5
Keeshonden,Shedding Level,3
Keeshonden,Coat Grooming Frequency,3
Keeshonden,Drooling Level,2
Keeshonden,Coat Type,Double
Keeshonden,Coat Length,Long
Keeshonden,Openness To Strangers,5
Keeshonden,Playfulness Level,5
Keeshonden,Watchdog/Protective Nature,5
Keeshonden,Adaptability Level,5
Keeshonden,Trainability Level,5
Keeshonden,Energy Level,4
Keeshonden,Barking Level,4
Keeshonden,Mental Stimulation Needs,4
Border Terriers,Affectionate With Family,4
Border Terriers,Good With Young Children,5
Border Terriers,Good With Other Dogs,3
Border Terriers,Shedding Level,2
Border Terriers,Coat Grooming Frequency,2
Border Terriers,Drooling Level,1
Border Terriers,Coat Type,Wiry
Border Terriers,Coat Length,Short
Border Terriers,Openness To Strangers,4
Border Terriers,Playfulness Level,4
Border Terriers,Watchdog/Protective Nature,3
Border Terriers,Adaptability Level,4
Border Terriers,Trainability Level,4
Border Terriers,Energy Level,3
Border Terriers,Barking Level,3
Border Terriers,Mental Stimulation Needs,3
Leonbergers,Affectionate With Family,5
Leonbergers,Good With Young Children,5
Leonbergers,Good With Other Dogs,3
Leonbergers,Shedding Level,4
Leonbergers,Coat Grooming Frequency,4
Leonbergers,Drooling Level,3
Leonbergers,Coat Type,Double
Leonbergers,Coat Length,Long
Leonbergers,Openness To Strangers,5
Leonbergers,Playfulness Level,3
Leonbergers,Watchdog/Protective Nature,4
Leonbergers,Adaptability Level,4
Leonbergers,Trainability Level,5
Leonbergers,Energy Level,3
Leonbergers,Barking Level,3
Leonbergers,Mental Stimulation Needs,4
Tibetan Terriers,Affectionate With Family,5
Tibetan Terriers,Good With Young Children,3
Tibetan Terriers,Good With Other Dogs,3
Tibetan Terriers,Shedding Level,3
Tibetan Terriers,Coat Grooming Frequency,3
Tibetan Terriers,Drooling Level,2
Tibetan Terriers,Coat Type,Double
Tibetan Terriers,Coat Length,Long
Tibetan Terriers,Openness To Strangers,3
Tibetan Terriers,Playfulness Level,3
Tibetan Terriers,Watchdog/Protective Nature,4
Tibetan Terriers,Adaptability Level,4
Tibetan Terriers,Trainability Level,3
Tibetan Terriers,Energy Level,4
Tibetan Terriers,Barking Level,3
Tibetan Terriers,Mental Stimulation Needs,4
Neapolitan Mastiffs,Affectionate With Family,3
Neapolitan Mastiffs,Good With Young Children,3
Neapolitan Mastiffs,Good With Other Dogs,3
Neapolitan Mastiffs,Shedding Level,3
Neapolitan Mastiffs,Coat Grooming Frequency,2
Neapolitan Mastiffs,Drooling Level,5
Neapolitan Mastiffs,Coat Type,Smooth
Neapolitan Mastiffs,Coat Length,Short
Neapolitan Mastiffs,Openness To Strangers,3
Neapolitan Mastiffs,Playfulness Level,2
Neapolitan Mastiffs,Watchdog/Protective Nature,5
Neapolitan Mastiffs,Adaptability Level,3
Neapolitan Mastiffs,Trainability Level,3
Neapolitan Mastiffs,Energy Level,2
Neapolitan Mastiffs,Barking Level,1
Neapolitan Mastiffs,Mental Stimulation Needs,3
Setters (English),Affectionate With Family,5
Setters (English),Good With Young Children,4
Setters (English),Good With Other Dogs,4
Setters (English),Shedding Level,3
Setters (English),Coat Grooming Frequency,3
Setters (English),Drooling Level,3
Setters (English),Coat Type,Double
Setters (English),Coat Length,Medium
Setters (English),Openness To Strangers,4
Setters (English),Playfulness Level,4
Setters (English),Watchdog/Protective Nature,3
Setters (English),Adaptability Level,4
Setters (English),Trainability Level,4
Setters (English),Energy Level,3
Setters (English),Barking Level,3
Setters (English),Mental Stimulation Needs,4
Retrievers (Flat-Coated),Affectionate With Family,5
Retrievers (Flat-Coated),Good With Young Children,5
Retrievers (Flat-Coated),Good With Other Dogs,5
Retrievers (Flat-Coated),Shedding Level,3
Retrievers (Flat-Coated),Coat Grooming Frequency,2
Retrievers (Flat-Coated),Drooling Level,2
Retrievers (Flat-Coated),Coat Type,Smooth
Retrievers (Flat-Coated),Coat Length,Medium
Retrievers (Flat-Coated),Openness To Strangers,5
Retrievers (Flat-Coated),Playfulness Level,5
Retrievers (Flat-Coated),Watchdog/Protective Nature,3
Retrievers (Flat-Coated),Adaptability Level,5
Retrievers (Flat-Coated),Trainability Level,5
Retrievers (Flat-Coated),Energy Level,5
Retrievers (Flat-Coated),Barking Level,3
Retrievers (Flat-Coated),Mental Stimulation Needs,4
Borzois,Affectionate With Family,3
Borzois,Good With Young Children,3
Borzois,Good With Other Dogs,3
Borzois,Shedding Level,3
Borzois,Coat Grooming Frequency,2
Borzois,Drooling Level,1
Borzois,Coat Type,Curly
Borzois,Coat Length,Medium
Borzois,Openness To Strangers,3
Borzois,Playfulness Level,3
Borzois,Watchdog/Protective Nature,3
Borzois,Adaptability Level,3
Borzois,Trainability Level,2
Borzois,Energy Level,4
Borzois,Barking Level,2
Borzois,Mental Stimulation Needs,4
Fox Terriers (Wire),Affectionate With Family,5
Fox Terriers (Wire),Good With Young Children,5
Fox Terriers (Wire),Good With Other Dogs,3
Fox Terriers (Wire),Shedding Level,2
Fox Terriers (Wire),Coat Grooming Frequency,3
Fox Terriers (Wire),Drooling Level,2
Fox Terriers (Wire),Coat Type,Wiry
Fox Terriers (Wire),Coat Length,Medium
Fox Terriers (Wire),Openness To Strangers,5
Fox Terriers (Wire),Playfulness Level,4
Fox Terriers (Wire),Watchdog/Protective Nature,4
Fox Terriers (Wire),Adaptability Level,4
Fox Terriers (Wire),Trainability Level,4
Fox Terriers (Wire),Energy Level,4
Fox Terriers (Wire),Barking Level,4
Fox Terriers (Wire),Mental Stimulation Needs,4
Miniature Bull Terriers,Affectionate With Family,5
Miniature Bull Terriers,Good With Young Children,3
Miniature Bull Terriers,Good With Other Dogs,3
Miniature Bull Terriers,Shedding Level,2
Miniature Bull Terriers,Coat Grooming Frequency,1
Miniature Bull Terriers,Drooling Level,2
Miniature Bull Terriers,Coat Type,Smooth
Miniature Bull Terriers,Coat Length,Short
Miniature Bull Terriers,Openness To Strangers,3
Miniature Bull Terriers,Playfulness Level,4
Miniature Bull Terriers,Watchdog/Protective Nature,4
Miniature Bull Terriers,Adaptability Level,4
Miniature Bull Terriers,Trainability Level,3
Miniature Bull Terriers,Energy Level,4
Miniature Bull Terriers,Barking Level,5
Miniature Bull Terriers,Mental Stimulation Needs,4
Belgian Tervuren,Affectionate With Family,3
Belgian Tervuren,Good With Young Children,3
Belgian Tervuren,Good With Other Dogs,3
Belgian Tervuren,Shedding Level,3
Belgian Tervuren,Coat Grooming Frequency,2
Belgian Tervuren,Drooling Level,1
Belgian Tervuren,Coat Type,Double
Belgian Tervuren,Coat Length,Medium
Belgian Tervuren,Openness To Strangers,3
Belgian Tervuren,Playfulness Level,3
Belgian Tervuren,Watchdog/Protective Nature,4
Belgian Tervuren,Adaptability Level,3
Belgian Tervuren,Trainability Level,5
Belgian Tervuren,Energy Level,4
Belgian Tervuren,Barking Level,3
Belgian Tervuren,Mental Stimulation Needs,4
Setters (Gordon),Affectionate With Family,5
Setters (Gordon),Good With Young Children,3
Setters (Gordon),Good With Other Dogs,3
Setters (Gordon),Shedding Level,3
Setters (Gordon),Coat Grooming Frequency,2
Setters (Gordon),Drooling Level,4
Setters (Gordon),Coat Type,Double
Setters (Gordon),Coat Length,Medium
Setters (Gordon),Openness To Strangers,3
Setters (Gordon),Playfulness Level,3
Setters (Gordon),Watchdog/Protective Nature,4
Setters (Gordon),Adaptability Level,4
Setters (Gordon),Trainability Level,5
Setters (Gordon),Energy Level,5
Setters (Gordon),Barking Level,3
Setters (Gordon),Mental Stimulation Needs,4
Silky Terriers,Affectionate With Family,5
Silky Terriers,Good With Young Children,3
Silky Terriers,Good With Other Dogs,3
Silky Terriers,Shedding Level,2
Silky Terriers,Coat Grooming Frequency,3
Silky Terriers,Drooling Level,1
Silky Terriers,Coat Type,Silky
Silky Terriers,Coat Length,Long
Silky Terriers,Openness To Strangers,4
Silky Terriers,Playfulness Level,4
Silky Terriers,Watchdog/Protective Nature,5
Silky Terriers,Adaptability Level,4
Silky Terriers,Trainability Level,4
Silky Terriers,Energy Level,3
Silky Terriers,Barking Level,4
Silky Terriers,Mental Stimulation Needs,3
Norwich Terriers,Affectionate With Family,5
Norwich Terriers,Good With Young Children,5
Norwich Terriers,Good With Other Dogs,3
Norwich Terriers,Shedding Level,3
Norwich Terriers,Coat Grooming Frequency,2
Norwich Terriers,Drooling Level,1
Norwich Terriers,Coat Type,Wiry
Norwich Terriers,Coat Length,Short
Norwich Terriers,Openness To Strangers,5
Norwich Terriers,Playfulness Level,4
Norwich Terriers,Watchdog/Protective Nature,4
Norwich Terriers,Adaptability Level,4
Norwich Terriers,Trainability Level,3
Norwich Terriers,Energy Level,4
Norwich Terriers,Barking Level,4
Norwich Terriers,Mental Stimulation Needs,4
Spinoni Italiani,Affectionate With Family,5
Spinoni Italiani,Good With Young Children,3
Spinoni Italiani,Good With Other Dogs,4
Spinoni Italiani,Shedding Level,3
Spinoni Italiani,Coat Grooming Frequency,2
Spinoni Italiani,Drooling Level,3
Spinoni Italiani,Coat Type,Wiry
Spinoni Italiani,Coat Length,Medium
Spinoni Italiani,Openness To Strangers,3
Spinoni Italiani,Playfulness Level,3
Spinoni Italiani,Watchdog/Protective Nature,3
Spinoni Italiani,Adaptability Level,3
Spinoni Italiani,Trainability Level,4
Spinoni Italiani,Energy Level,3
Spinoni Italiani,Barking Level,2
Spinoni Italiani,Mental Stimulation Needs,3
Japanese Chin,Affectionate With Family,5
Japanese Chin,Good With Young Children,3
Japanese Chin,Good With Other Dogs,5
Japanese Chin,Shedding Level,3
Japanese Chin,Coat Grooming Frequency,2
Japanese Chin,Drooling Level,1
Japanese Chin,Coat Type,Silky
Japanese Chin,Coat Length,Medium
Japanese Chin,Openness To Strangers,3
Japanese Chin,Playfulness Level,3
Japanese Chin,Watchdog/Protective Nature,3
Japanese Chin,Adaptability Level,4
Japanese Chin,Trainability Level,3
Japanese Chin,Energy Level,3
Japanese Chin,Barking Level,2
Japanese Chin,Mental Stimulation Needs,3
Welsh Terriers,Affectionate With Family,5
Welsh Terriers,Good With Young Children,5
Welsh Terriers,Good With Other Dogs,3
Welsh Terriers,Shedding Level,2
Welsh Terriers,Coat Grooming Frequency,3
Welsh Terriers,Drooling Level,2
Welsh Terriers,Coat Type,Wiry
Welsh Terriers,Coat Length,Medium
Welsh Terriers,Openness To Strangers,5
Welsh Terriers,Playfulness Level,4
Welsh Terriers,Watchdog/Protective Nature,4
Welsh Terriers,Adaptability Level,4
Welsh Terriers,Trainability Level,4
Welsh Terriers,Energy Level,4
Welsh Terriers,Barking Level,4
Welsh Terriers,Mental Stimulation Needs,4
Toy Fox Terriers,Affectionate With Family,5
Toy Fox Terriers,Good With Young Children,3
Toy Fox Terriers,Good With Other Dogs,3
Toy Fox Terriers,Shedding Level,3
Toy Fox Terriers,Coat Grooming Frequency,2
Toy Fox Terriers,Drooling Level,1
Toy Fox Terriers,Coat Type,Smooth
Toy Fox Terriers,Coat Length,Short
Toy Fox Terriers,Openness To Strangers,5
Toy Fox Terriers,Playfulness Level,4
Toy Fox Terriers,Watchdog/Protective Nature,5
Toy Fox Terriers,Adaptability Level,4
Toy Fox Terriers,Trainability Level,5
Toy Fox Terriers,Energy Level,4
Toy Fox Terriers,Barking Level,4
Toy Fox Terriers,Mental Stimulation Needs,4
Schipperkes,Affectionate With Family,5
Schipperkes,Good With Young Children,3
Schipperkes,Good With Other Dogs,3
Schipperkes,Shedding Level,3
Schipperkes,Coat Grooming Frequency,2
Schipperkes,Drooling Level,1
Schipperkes,Coat Type,Double
Schipperkes,Coat Length,Short
Schipperkes,Openness To Strangers,3
Schipperkes,Playfulness Level,4
Schipperkes,Watchdog/Protective Nature,5
Schipperkes,Adaptability Level,4
Schipperkes,Trainability Level,4
Schipperkes,Energy Level,3
Schipperkes,Barking Level,4
Schipperkes,Mental Stimulation Needs,3
Parson Russell Terriers,Affectionate With Family,5
Parson Russell Terriers,Good With Young Children,3
Parson Russell Terriers,Good With Other Dogs,5
Parson Russell Terriers,Shedding Level,2
Parson Russell Terriers,Coat Grooming Frequency,2
Parson Russell Terriers,Drooling Level,1
Parson Russell Terriers,Coat Type,Smooth
Parson Russell Terriers,Coat Length,Short
Parson Russell Terriers,Openness To Strangers,3
Parson Russell Terriers,Playfulness Level,4
Parson Russell Terriers,Watchdog/Protective Nature,3
Parson Russell Terriers,Adaptability Level,4
Parson Russell Terriers,Trainability Level,4
Parson Russell Terriers,Energy Level,5
Parson Russell Terriers,Barking Level,3
Parson Russell Terriers,Mental Stimulation Needs,4
Pointers,Affectionate With Family,5
Pointers,Good With Young Children,3
Pointers,Good With Other Dogs,5
Pointers,Shedding Level,3
Pointers,Coat Grooming Frequency,2
Pointers,Drooling Level,2
Pointers,Coat Type,Smooth
Pointers,Coat Length,Short
Pointers,Openness To Strangers,4
Pointers,Playfulness Level,4
Pointers,Watchdog/Protective Nature,3
Pointers,Adaptability Level,4
Pointers,Trainability Level,5
Pointers,Energy Level,4
Pointers,Barking Level,3
Pointers,Mental Stimulation Needs,4
Belgian Sheepdogs,Affectionate With Family,3
Belgian Sheepdogs,Good With Young Children,3
Belgian Sheepdogs,Good With Other Dogs,3
Belgian Sheepdogs,Shedding Level,3
Belgian Sheepdogs,Coat Grooming Frequency,2
Belgian Sheepdogs,Drooling Level,1
Belgian Sheepdogs,Coat Type,Double
Belgian Sheepdogs,Coat Length,Medium
Belgian Sheepdogs,Openness To Strangers,3
Belgian Sheepdogs,Playfulness Level,3
Belgian Sheepdogs,Watchdog/Protective Nature,4
Belgian Sheepdogs,Adaptability Level,3
Belgian Sheepdogs,Trainability Level,5
Belgian Sheepdogs,Energy Level,4
Belgian Sheepdogs,Barking Level,3
Belgian Sheepdogs,Mental Stimulation Needs,4
Tibetan Spaniels,Affectionate With Family,5
Tibetan Spaniels,Good With Young Children,5
Tibetan Spaniels,Good With Other Dogs,3
Tibetan Spaniels,Shedding Level,3
Tibetan Spaniels,Coat Grooming Frequency,2
Tibetan Spaniels,Drooling Level,2
Tibetan Spaniels,Coat Type,Double
Tibetan Spaniels,Coat Length,Medium
Tibetan Spaniels,Openness To Strangers,4
Tibetan Spaniels,Playfulness Level,4
Tibetan Spaniels,Watchdog/Protective Nature,4
Tibetan Spaniels,Adaptability Level,4
Tibetan Spaniels,Trainability Level,3
Tibetan Spaniels,Energy Level,3
Tibetan Spaniels,Barking Level,3
Tibetan Spaniels,Mental Stimulation Needs,3
American Eskimo Dogs,Affectionate With Family,5
American Eskimo Dogs,Good With Young Children,5
American Eskimo Dogs,Good With Other Dogs,3
American Eskimo Dogs,Shedding Level,3
American Eskimo Dogs,Coat Grooming Frequency,3
American Eskimo Dogs,Drooling Level,1
American Eskimo Dogs,Coat Type,Double
American Eskimo Dogs,Coat Length,Medium
American Eskimo Dogs,Openness To Strangers,5
American Eskimo Dogs,Playfulness Level,3
American Eskimo Dogs,Watchdog/Protective Nature,3
American Eskimo Dogs,Adaptability Level,4
American Eskimo Dogs,Trainability Level,4
American Eskimo Dogs,Energy Level,4
American Eskimo Dogs,Barking Level,3
American Eskimo Dogs,Mental Stimulation Needs,3
Irish Terriers,Affectionate With Family,5
Irish Terriers,Good With Young Children,5
Irish Terriers,Good With Other Dogs,1
Irish Terriers,Shedding Level,2
Irish Terriers,Coat Grooming Frequency,1
Irish Terriers,Drooling Level,1
Irish Terriers,Coat Type,Wiry
Irish Terriers,Coat Length,Medium
Irish Terriers,Openness To Strangers,3
Irish Terriers,Playfulness Level,3
Irish Terriers,Watchdog/Protective Nature,5
Irish Terriers,Adaptability Level,4
Irish Terriers,Trainability Level,3
Irish Terriers,Energy Level,3
Irish Terriers,Barking Level,3
Irish Terriers,Mental Stimulation Needs,4
Beaucerons,Affectionate With Family,3
Beaucerons,Good With Young Children,3
Beaucerons,Good With Other Dogs,3
Beaucerons,Shedding Level,4
Beaucerons,Coat Grooming Frequency,3
Beaucerons,Drooling Level,1
Beaucerons,Coat Type,Smooth
Beaucerons,Coat Length,Short
Beaucerons,Openness To Strangers,2
Beaucerons,Playfulness Level,3
Beaucerons,Watchdog/Protective Nature,4
Beaucerons,Adaptability Level,3
Beaucerons,Trainability Level,3
Beaucerons,Energy Level,5
Beaucerons,Barking Level,3
Beaucerons,Mental Stimulation Needs,3
Afghan Hounds,Affectionate With Family,3
Afghan Hounds,Good With Young Children,3
Afghan Hounds,Good With Other Dogs,3
Afghan Hounds,Shedding Level,1
Afghan Hounds,Coat Grooming Frequency,4
Afghan Hounds,Drooling Level,1
Afghan Hounds,Coat Type,Silky
Afghan Hounds,Coat Length,Long
Afghan Hounds,Openness To Strangers,3
Afghan Hounds,Playfulness Level,3
Afghan Hounds,Watchdog/Protective Nature,3
Afghan Hounds,Adaptability Level,3
Afghan Hounds,Trainability Level,1
Afghan Hounds,Energy Level,4
Afghan Hounds,Barking Level,3
Afghan Hounds,Mental Stimulation Needs,3
Boerboels,Affectionate With Family,5
Boerboels,Good With Young Children,4
Boerboels,Good With Other Dogs,2
Boerboels,Shedding Level,3
Boerboels,Coat Grooming Frequency,2
Boerboels,Drooling Level,3
Boerboels,Coat Type,Smooth
Boerboels,Coat Length,Short
Boerboels,Openness To Strangers,3
Boerboels,Playfulness Level,3
Boerboels,Watchdog/Protective Nature,5
Boerboels,Adaptability Level,3
Boerboels,Trainability Level,4
Boerboels,Energy Level,3
Boerboels,Barking Level,3
Boerboels,Mental Stimulation Needs,4
Fox Terriers (Smooth),Affectionate With Family,5
Fox Terriers (Smooth),Good With Young Children,3
Fox Terriers (Smooth),Good With Other Dogs,3
Fox Terriers (Smooth),Shedding Level,3
Fox Terriers (Smooth),Coat Grooming Frequency,2
Fox Terriers (Smooth),Drooling Level,1
Fox Terriers (Smooth),Coat Type,Smooth
Fox Terriers (Smooth),Coat Length,Short
Fox Terriers (Smooth),Openness To Strangers,3
Fox Terriers (Smooth),Playfulness Level,4
Fox Terriers (Smooth),Watchdog/Protective Nature,5
Fox Terriers (Smooth),Adaptability Level,4
Fox Terriers (Smooth),Trainability Level,3
Fox Terriers (Smooth),Energy Level,4
Fox Terriers (Smooth),Barking Level,5
Fox Terriers (Smooth),Mental Stimulation Needs,3
Bearded Collies,Affectionate With Family,4
Bearded Collies,Good With Young Children,5
Bearded Collies,Good With Other Dogs,5
Bearded Collies,Shedding Level,3
Bearded Collies,Coat Grooming Frequency,4
Bearded Collies,Drooling Level,1
Bearded Collies,Coat Type,Silky
Bearded Collies,Coat Length,Long
Bearded Collies,Openness To Strangers,4
Bearded Collies,Playfulness Level,4
Bearded Collies,Watchdog/Protective Nature,3
Bearded Collies,Adaptability Level,4
Bearded Collies,Trainability Level,3
Bearded Collies,Energy Level,4
Bearded Collies,Barking Level,5
Bearded Collies,Mental Stimulation Needs,3
Black Russian Terriers,Affectionate With Family,3
Black Russian Terriers,Good With Young Children,3
Black Russian Terriers,Good With Other Dogs,3
Black Russian Terriers,Shedding Level,3
Black Russian Terriers,Coat Grooming Frequency,4
Black Russian Terriers,Drooling Level,3
Black Russian Terriers,Coat Type,Double
Black Russian Terriers,Coat Length,Medium
Black Russian Terriers,Openness To Strangers,2
Black Russian Terriers,Playfulness Level,3
Black Russian Terriers,Watchdog/Protective Nature,5
Black Russian Terriers,Adaptability Level,4
Black Russian Terriers,Trainability Level,4
Black Russian Terriers,Energy Level,4
Black Russian Terriers,Barking Level,3
Black Russian Terriers,Mental Stimulation Needs,4
Black and Tan Coonhounds,Affectionate With Family,4
Black and Tan Coonhounds,Good With Young Children,5
Black and Tan Coonhounds,Good With Other Dogs,5
Black and Tan Coonhounds,Shedding Level,3
Black and Tan Coonhounds,Coat Grooming Frequency,2
Black and Tan Coonhounds,Drooling Level,3
Black and Tan Coonhounds,Coat Type,Smooth
Black and Tan Coonhounds,Coat Length,Short
Black and Tan Coonhounds,Openness To Strangers,3
Black and Tan Coonhounds,Playfulness Level,3
Black and Tan Coonhounds,Watchdog/Protective Nature,2
Black and Tan Coonhounds,Adaptability Level,4
Black and Tan Coonhounds,Trainability Level,3
Black and Tan Coonhounds,Energy Level,3
Black and Tan Coonhounds,Barking Level,4
Black and Tan Coonhounds,Mental Stimulation Needs,3
Spaniels (Welsh Springer),Affectionate With Family,5
Spaniels (Welsh Springer),Good With Young Children,5
Spaniels (Welsh Springer),Good With Other Dogs,4
Spaniels (Welsh Springer),Shedding Level,3
Spaniels (Welsh Springer),Coat Grooming Frequency,2
Spaniels (Welsh Springer),Drooling Level,2
Spaniels (Welsh Springer),Coat Type,Double
Spaniels (Welsh Springer),Coat Length,Medium
Spaniels (Welsh Springer),Openness To Strangers,1
Spaniels (Welsh Springer),Playfulness Level,3
Spaniels (Welsh Springer),Watchdog/Protective Nature,3
Spaniels (Welsh Springer),Adaptability Level,4
Spaniels (Welsh Springer),Trainability Level,5
Spaniels (Welsh Springer),Energy Level,4
Spaniels (Welsh Springer),Barking Level,3
Spaniels (Welsh Springer),Mental Stimulation Needs,4
American Hairless Terriers,Affectionate With Family,5
American Hairless Terriers,Good With Young Children,5
American Hairless Terriers,Good With Other Dogs,3
American Hairless Terriers,Shedding Level,1
American Hairless Terriers,Coat Grooming Frequency,1
American Hairless Terriers,Drooling Level,1
American Hairless Terriers,Coat Type,Hairless
American Hairless Terriers,Coat Length,Short
American Hairless Terriers,Openness To Strangers,3
American Hairless Terriers,Playfulness Level,3
American Hairless Terriers,Watchdog/Protective Nature,3
American Hairless Terriers,Adaptability Level,5
American Hairless Terriers,Trainability Level,5
American Hairless Terriers,Energy Level,3
American Hairless Terriers,Barking Level,3
American Hairless Terriers,Mental Stimulation Needs,3
Norfolk Terriers,Affectionate With Family,5
Norfolk Terriers,Good With Young Children,5
Norfolk Terriers,Good With Other Dogs,3
Norfolk Terriers,Shedding Level,3
Norfolk Terriers,Coat Grooming Frequency,2
Norfolk Terriers,Drooling Level,1
Norfolk Terriers,Coat Type,Wiry
Norfolk Terriers,Coat Length,Short
Norfolk Terriers,Openness To Strangers,5
Norfolk Terriers,Playfulness Level,4
Norfolk Terriers,Watchdog/Protective Nature,4
Norfolk Terriers,Adaptability Level,4
Norfolk Terriers,Trainability Level,3
Norfolk Terriers,Energy Level,4
Norfolk Terriers,Barking Level,4
Norfolk Terriers,Mental Stimulation Needs,4
Xoloitzcuintli,Affectionate With Family,5
Xoloitzcuintli,Good With Young Children,3
Xoloitzcuintli,Good With Other Dogs,3
Xoloitzcuintli,Shedding Level,1
